index,lon,lat,node_id,snap_dist_m
0,-5.5748657850048176,33.86171284761684,6806270280,24.00
1,-5.575235716867468,33.86235619658673,1602312654,18.22
2,-5.572180873741075,33.859034203960675,1602312552,3.10
3,-5.571197272901031,33.86000413991941,5742037852,9.66
4,-5.563664711284048,33.87039693404333,13664727681,3.32
5,-5.561727513716875,33.86366156616924,5742047187,38.31
6,-5.5620406752091185,33.86249513517525,1627567697,4.47
7,-5.562055866273511,33.85919676801991,1589650547,4.10
8,-5.56608803555369,33.868210183213364,1612168210,2.57
9,-5.566453147561219,33.86745750581858,1627567828,4.87
10,-5.564564637174584,33.867990652992546,4605509417,4.15
11,-5.563859593297025,33.86860742694124,13707876356,89.54
12,-5.562025937873102,33.861032891084164,6802270370,4.82
13,-5.561623669378491,33.860275729701755,6802271070,8.92
14,-5.560014595400986,33.8670454048854,5619908326,11.46
15,-5.56185042413199,33.86326009123731,1627567728,3.13
16,-5.561237431966475,33.86603141129089,6805735983,2.77
17,-5.561848615942608,33.86856883466841,13717516219,26.14
18,-5.562081161311227,33.86202570912947,4605509612,44.58
19,-5.563076580335434,33.867850000581484,4605509498,17.40
20,-5.561201488685214,33.86346740243037,4605509532,23.40
21,-5.569845257622603,33.86143934006358,2990323817,17.91
22,-5.568887661616515,33.862685822635285,6802226667,11.59
23,-5.569275876213737,33.86240644019239,1602312656,6.68
24,-5.569172352320976,33.863889305783076,1627567757,9.54
25,-5.565217983080601,33.86410118314248,1627567763,15.73
26,-5.567351597217254,33.86568301777734,2210414371,11.62
27,-5.567117285892721,33.86263793831574,4605507571,8.99
28,-5.567597328170336,33.86216458110417,2990323771,9.22
29,-5.568437402155865,33.86161648000143,1627567665,3.38
30,-5.563456963525965,33.86281233241631,2990323833,11.81
31,-5.567657333454633,33.863709210737255,13706215669,9.69
32,-5.570117550126923,33.86343516558327,1602312685,5.36
33,-5.5698768264059595,33.8629149596061,6802292668,50.09
34,-5.568389843069525,33.86333028392785,4605507585,7.55
35,-5.5605420978465645,33.86249157271348,4605509487,6.93
36,-5.561299462880186,33.86288687953994,4605507561,15.73
37,-5.570937258173302,33.863385971634116,1602312691,13.15
38,-5.572411600529307,33.86299105217232,1627567723,15.30
39,-5.571971675794259,33.862438161856645,1602312659,12.94
40,-5.571353403193029,33.861845775402315,1627567663,21.66
41,-5.570509224119917,33.8608584554714,1627567627,10.37
42,-5.566918490237299,33.85938733070316,9560059459,27.00
