sous_quartier,n,optimum_HK_s,ppv_depot_s,ecart_ppv_depot_%,ppv_best_s,ecart_ppv_best_%,2opt_s,ecart_2opt_%
Q1 (ancre 1),14,259.28,279.23,7.69,263.74,1.72,259.28,0.00
Q2 (ancre 8),14,455.63,481.94,5.77,481.94,5.77,461.21,1.22
Q3 (ancre 16),14,452.15,453.26,0.25,453.26,0.25,452.15,0.00
Q4 (ancre 24),14,306.82,335.15,9.23,335.15,9.23,316.96,3.30
Q5 (ancre 30),14,430.88,466.77,8.33,457.32,6.13,441.39,2.44
Q6 (ancre 38),14,228.87,243.02,6.18,228.87,0.00,228.87,0.00
Q7 (ancre 42),14,419.62,451.84,7.68,447.53,6.65,437.45,4.25
