lon,lat
-5.5748657850048176,33.86171284761684
-5.575235716867468,33.86235619658673
-5.572180873741075,33.859034203960675
-5.571197272901031,33.86000413991941
-5.563664711284048,33.87039693404333
-5.561727513716875,33.86366156616924
-5.5620406752091185,33.86249513517525
-5.562055866273511,33.85919676801991
-5.56608803555369,33.868210183213364
-5.566453147561219,33.86745750581858
-5.564564637174584,33.867990652992546
-5.563859593297025,33.86860742694124
-5.562025937873102,33.861032891084164
-5.561623669378491,33.860275729701755
-5.560014595400986,33.8670454048854
-5.56185042413199,33.86326009123731
-5.561237431966475,33.86603141129089
-5.561848615942608,33.86856883466841
-5.562081161311227,33.86202570912947
-5.563076580335434,33.867850000581484
-5.561201488685214,33.86346740243037
-5.569845257622603,33.86143934006358
-5.568887661616515,33.862685822635285
-5.569275876213737,33.86240644019239
-5.569172352320976,33.863889305783076
-5.565217983080601,33.86410118314248
-5.567351597217254,33.86568301777734
-5.567117285892721,33.86263793831574
-5.567597328170336,33.86216458110417
-5.568437402155865,33.86161648000143
-5.563456963525965,33.86281233241631
-5.567657333454633,33.863709210737255
-5.570117550126923,33.86343516558327
-5.5698768264059595,33.8629149596061
-5.568389843069525,33.86333028392785
-5.5605420978465645,33.86249157271348
-5.561299462880186,33.86288687953994
-5.570937258173302,33.863385971634116
-5.572411600529307,33.86299105217232
-5.571971675794259,33.862438161856645
-5.571353403193029,33.861845775402315
-5.570509224119917,33.8608584554714
-5.566918490237299,33.85938733070316
