methode,longueur_secondes,temps_calcul_s,tour
Plus proche voisin (depart 0),1091.78,0.0001,0 1 38 39 40 41 21 23 22 34 31 27 28 29 33 32 37 24 26 9 8 10 11 19 17 14 16 5 15 20 36 6 18 12 13 7 35 30 25 42 3 2 4
Plus proche voisin (meilleur depart),986.23,0.0029,42 29 28 27 31 34 22 23 33 32 37 39 38 40 41 21 3 2 0 1 24 26 9 8 10 11 19 17 14 16 5 15 20 36 6 18 12 13 7 35 30 25 4
2-opt (sur meilleur PPV),802.60,0.0007,42 29 23 22 34 33 40 21 41 3 2 0 1 38 39 37 32 24 26 9 8 10 11 4 19 17 14 16 5 15 20 36 35 13 7 12 18 6 30 25 31 27 28
