0.0000,7.6416,54.2088,64.2826,145.9568,137.9533,122.7795,122.8972,114.9448,107.4227,135.4404,134.8597,136.8847,143.6347,178.7501,132.5625,160.3967,166.9162,142.8004,143.8764,141.5339,77.1654,74.3027,81.0549,61.4104,103.7920,86.6975,95.0061,95.3987,94.6914,113.1938,79.7381,57.4627,85.5954,75.1280,148.9526,136.7791,46.2989,32.8627,41.9558,56.4213,71.3053,112.9613
7.6416,0.0000,61.8504,65.6238,138.3152,130.3118,115.1380,130.5388,107.3032,99.7812,127.7988,127.2181,130.9773,139.0196,171.1085,124.9210,152.7552,159.2746,136.8929,136.2349,133.8923,69.5239,66.6611,73.4133,53.7688,96.1504,79.0559,87.3645,87.7572,87.0499,105.5522,72.0965,49.8212,77.9538,67.4864,141.3111,129.1376,38.6573,25.2211,34.3143,48.7797,63.6638,109.4985
51.7296,59.3712,0.0000,18.1011,167.3221,123.1109,107.2560,76.2481,136.3101,128.7881,156.8057,156.2250,90.2356,96.9856,161.9179,113.4953,141.3295,168.4211,96.1513,165.2418,122.4667,43.0946,62.3714,55.6192,82.7757,109.3637,108.0628,82.7072,75.0659,62.4010,117.0456,94.3711,74.8283,60.1597,72.2901,120.9313,117.7119,72.1361,68.5598,59.4667,45.0012,30.1172,66.9654
64.2826,65.6238,18.1011,0.0000,149.2210,125.4239,110.2501,93.4302,118.2090,110.6869,138.7046,138.1238,107.4177,114.1677,166.2206,120.0331,147.8672,168.6766,113.3333,147.1406,129.0044,24.9935,44.2703,37.5181,64.6746,91.2625,89.9617,64.6061,56.9647,44.2998,100.6643,76.2699,56.7272,42.0586,54.1890,136.4232,124.2496,54.0349,50.4587,41.3656,26.9001,12.0160,53.5083
148.1203,140.4787,169.4856,151.3844,0.0000,87.6077,91.8621,131.4354,33.7262,41.2483,44.2307,46.4181,107.7014,115.7438,46.0728,83.6063,54.9302,53.5974,111.9841,61.6057,89.8669,128.2160,107.1141,113.8664,86.7098,90.7898,61.9735,117.0165,120.8998,127.5029,101.6517,86.2354,99.2158,118.4068,100.4274,102.2247,90.0511,101.8213,115.2575,123.6395,130.3531,139.3684,164.3780
136.7932,129.1516,116.2078,125.4938,91.4563,0.0000,17.8713,57.4446,79.7167,72.6176,79.5472,77.3597,33.7106,41.7530,54.0498,9.6156,33.4614,60.5530,37.9933,66.2766,20.8151,100.5003,88.2181,94.8305,75.3828,46.4047,79.7996,65.8267,73.0772,85.6493,24.7296,62.5957,87.8887,99.3710,78.2994,28.2339,16.0604,90.4943,103.9305,112.3125,119.0261,113.4778,90.3873
125.3969,117.7553,98.3365,112.6216,95.6121,19.3986,0.0000,39.5733,92.7029,85.6038,87.8074,85.6200,15.8393,23.8817,58.2056,9.7830,37.6172,64.7088,21.7550,70.4324,18.7543,89.1040,76.8218,83.4342,63.9865,43.1940,74.3764,54.4304,61.6809,74.2530,13.3333,51.1994,76.4924,87.9747,66.9031,26.1731,13.9996,79.0980,92.5342,100.9161,107.6297,102.0814,72.5159
106.8175,114.4591,58.7632,73.0482,149.7052,70.7167,55.5429,0.0000,144.0211,136.9219,141.9005,139.7130,40.6164,20.7375,112.2987,63.8761,91.7103,118.8019,46.5320,124.5255,72.8474,75.8745,93.0537,86.3015,111.6906,90.8982,122.0805,84.5759,78.1998,72.6650,61.0374,98.9035,109.4333,90.8420,98.6722,71.3121,68.0927,106.7410,111.4312,102.3380,87.8726,72.9885,32.9426
114.3940,106.7525,135.7594,117.6582,31.0120,79.7167,91.1757,130.7490,0.0000,7.5221,23.2599,25.4474,107.0150,115.0573,77.0848,82.9199,73.4502,63.6747,111.2977,40.6350,94.1195,94.4898,73.3879,80.1401,52.9836,57.0636,28.2473,83.2903,87.1736,93.7767,89.4277,52.5092,65.4896,84.6806,66.7012,101.5382,89.3647,68.0951,81.5313,89.9133,96.6269,105.6422,139.3296
106.8720,99.2304,128.2373,110.1362,38.5340,72.6176,84.0765,123.6498,7.5221,0.0000,28.9009,31.0883,99.9158,107.9582,84.6068,75.8208,79.0911,69.3157,104.1985,46.2759,87.0203,86.9678,65.8659,72.6181,45.4616,49.5415,20.7252,75.7683,79.6515,86.2546,81.9056,44.9871,57.9675,77.1586,59.1791,94.4391,82.2656,60.5731,74.0093,82.3913,89.1048,98.1201,131.8075
134.8896,127.2481,156.2550,138.1538,41.5164,79.5472,87.1221,126.6954,23.2599,28.9009,0.0000,2.1875,102.9614,111.0038,62.7924,78.8664,50.1902,40.4148,107.2442,17.3750,85.1270,114.9854,93.8835,100.6357,73.4792,67.9999,48.7429,97.2410,104.4915,114.2723,96.9117,73.0047,85.9852,105.1762,87.1968,97.4847,85.3112,88.5907,102.0269,110.4089,117.1225,126.1378,159.6381
