mode,mst,one_tree,held_karp_lb,cout_2opt,ecart_certifie_mst_%,ecart_certifie_1arbre_%,ecart_certifie_hk_%
hypothese,612.36,644.78,761.94,802.60,31.07,24.48,5.34
osm,669.74,702.60,839.63,883.17,31.87,25.70,5.19
